no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
235,4,0.748,0.646,1,0.807283998,0,0.045,0.0608,0.0221,0.313,0.771,0.440951979,1
236,4,0.603,0.887,1,0.865607646,1,0.0664,0.44,0.496,0.0836,0.803,0.445794339,1
237,4,0.837,0.899,1,0.89828232,0,0.047,0.589,2.54E-06,0.0886,0.897,0.52772131,1
238,4,0.75,0.457,1,0.738990056,0,0.0665,0.093,0.118,0.054,0.613,0.364399547,1
239,4,0.504,0.681,1,0.776934005,0,0.113,0.138,0.000374,0.0966,0.632,0.558798711,1
240,4,0.651,0.721,1,0.842722459,0,0.0655,0.0294,0.0117,0.131,0.44,0.565928007,1
241,4,0.58,0.816,1,0.782151621,0,0.217,0.333,0.00933,0.132,0.765,0.970025315,1
242,4,0.639,0.667,1,0.907400232,1,0.046,0.0807,9.41E-05,0.0571,0.514,0.483521594,1
243,4,0.724,0.695,1,0.854939946,0,0.065,0.00602,0.0735,0.387,0.721,0.55134819,1
244,4,0.822,0.803,1,0.810125274,0,0.0617,0.000559,0.541,0.314,0.921,0.527332963,1
245,4,0.668,0.82,1,0.841973395,1,0.0351,0.00676,0.0141,0.0447,0.87,0.637340825,1
246,4,0.787,0.823,1,0.834482759,0,0.0662,0.106,2.14E-05,0.224,0.786,0.575267528,1
247,4,0.695,0.937,1,0.909544104,0,0.0733,0.00999,0.234,0.136,0.884,0.502075982,1
248,4,0.649,0.874,1,0.824615782,1,0.0793,0.0394,0.552,0.0936,0.776,0.81459516,1
249,4,0.653,0.466,1,0.750768436,1,0.0569,0.00362,1.27E-05,0.0806,0.844,0.578628414,1
250,4,0.725,0.957,1,0.850419734,1,0.0472,0.0126,0.0822,0.102,0.618,0.575301089,1
251,5,0.359,0.362,1,0.812114168,1,0.0276,0.815,0,0.313,0.382,0.441949218,1
252,5,0.557,0.746,1,0.82841276,1,0.0306,0.0144,0,0.252,0.327,0.496183645,1
253,5,0.446,0.316,1,0.723001421,1,0.0329,0.252,0,0.119,0.116,0.593534251,1
254,5,0.4,0.596,1,0.838899651,1,0.0407,0.127,0,0.384,0.264,0.478084727,1
255,5,0.309,0.613,1,0.793904172,0,0.0375,0.146,0.00136,0.0811,0.147,0.658656797,1
256,5,0.296,0.365,0,0.774221878,1,0.0316,0.53,0,0.0964,0.256,0.648075522,1
257,5,0.177,0.513,1,0.779542813,1,0.0353,0.549,0.0228,0.303,0.217,0.752780761,1
258,5,0.314,0.798,1,0.852486116,1,0.0544,0.022,3.63E-06,0.362,0.336,0.719780799,1
259,5,0.37,0.553,1,0.845744543,0,0.0294,0.057,1.84E-06,0.0917,0.114,0.530535632,1
260,5,0.55,0.442,0,0.856179775,1,0.0313,0.573,0,0.138,0.248,0.593280147,1
261,5,0.45,0.494,1,0.840604417,1,0.0287,0.252,0,0.666,0.158,0.704524969,1
262,5,0.517,0.613,1,0.853700116,1,0.031,0.65,0,0.281,0.387,0.642461261,1
